X,Y,FID,geocode,uploadadd,shmeio
23.7634279599116,37.9931649886974,"55","65",ΣΤ.ΜΕΤΡΟ ΠΑΝΟΡΜΟΥ,ΣΤΑΘΜΟΣ ΜΕΤΡΟ
23.7572403642346,37.9872809962769,"56","66",ΣΤ.ΜΕΤΡΟ ΑΜΠΕΛΟΚΗΠΩΝ,ΣΤΑΘΜΟΣ ΜΕΤΡΟ
23.7328088834524,37.98051215762,"57","67",ΣΤ.ΜΕΤΡΟ ΠΑΝΕΠΙΣΤΗΜΙΟ,ΣΤΑΘΜΟΣ ΜΕΤΡΟ
23.7135957161556,38.0027867877861,"58","68",ΣΤ.ΜΕΤΡΟ ΣΕΠΟΛΙΩΝ,ΣΤΑΘΜΟΣ ΜΕΤΡΟ
23.7471909111511,37.97620059169,"59","69",ΣΤ.ΜΕΤΡΟ ΕΥΑΓΓΕΛΙΣΜΟΥ,ΣΤΑΘΜΟΣ ΜΕΤΡΟ
23.7527999917852,37.9786909785381,"60","70",ΣΤ.ΜΕΤΡΟ ΜΕΓ.ΜΟΥΣΙΚΗΣ,ΣΤΑΘΜΟΣ ΜΕΤΡΟ
23.7761588841182,37.9931713602298,"61","71",ΣΤ.ΜΕΤΡΟ ΚΑΤΕΧΑΚΗ,ΣΤΑΘΜΟΣ ΜΕΤΡΟ
23.7296153726173,37.9687487532901,"62","72",ΣΤ.ΜΕΤΡΟ ΑΚΡΟΠΟΛΗ,ΣΤΑΘΜΟΣ ΜΕΤΡΟ
23.726676983323,37.9645228997984,"63","73",ΣΤ.ΜΕΤΡΟ ΣΥΓΓΡΟΥ-ΦΙΞ,ΣΤΑΘΜΟΣ ΜΕΤΡΟ
23.7286092594991,37.9577059233786,"64","74",ΣΤ.ΜΕΤΡΟ ΝΕΟΣ ΚΟΣΜΟΣ,ΣΤΑΘΜΟΣ ΜΕΤΡΟ
23.734186000783,37.9564692383435,"65","75",ΣΤ.ΜΕΤΡΟ ΑΓ.ΙΩΑΝΝΗΣ,ΣΤΑΘΜΟΣ ΜΕΤΡΟ
23.7378053130627,37.9494992151232,"66","76",ΣΤ.ΜΕΤΡΟ ΔΑΦΝΗΣ,ΣΤΑΘΜΟΣ ΜΕΤΡΟ
23.7356888822533,37.9750909721573,"67","77",ΣΤ.ΜΕΤΡΟ ΣΥΝΤΑΓΜΑΤΟΣ,ΣΤΑΘΜΟΣ ΜΕΤΡΟ
23.7928738366098,38.0448100113306,"68","78",ΣΤ.ΜΕΤΡΟ ΝΕΡΑΤΖΙΩΤΙΣΣΑ,ΣΤΑΘΜΟΣ ΜΕΤΡΟ
23.6996691343059,38.0063960526362,"69","79",ΣΤ.ΜΕΤΡΟ ΑΓ.ΑΝΤΩΝΙΟΣ,ΣΤΑΘΜΟΣ ΜΕΤΡΟ
23.740775143392,37.9413921896546,"70","80",ΣΤ.ΜΕΤΡΟ ΑΓ.ΔΗΜΗΤΡΙΟΣ-ΑΛ.ΠΑΝΑΓΟΥΛΗΣ,ΣΤΑΘΜΟΣ ΜΕΤΡΟ
23.7857690610277,37.99999495372,"71","81",ΣΤ.ΜΕΤΡΟ ΕΘΝ.ΑΜΥΝΑΣ,ΣΤΑΘΜΟΣ ΜΕΤΡΟ
23.8203200634855,38.0216027035327,"72","82",ΣΤ.ΜΕΤΡΟ ΧΑΛΑΝΔΡΙ,ΣΤΑΘΜΟΣ ΜΕΤΡΟ
23.8698810160256,37.9834810357993,"73","83",ΣΤ.ΜΕΤΡΟ ΚΑΝΤΖΑ,ΣΤΑΘΜΟΣ ΜΕΤΡΟ
23.8957408181096,37.9128475513589,"74","84",ΣΤ.ΜΕΤΡΟ ΚΟΡΩΠΙ,ΣΤΑΘΜΟΣ ΜΕΤΡΟ
23.7116319989446,37.9786676116389,"75","85",ΣΤ.ΜΕΤΡΟ ΚΕΡΑΜΕΙΚΟΥ,ΣΤΑΘΜΟΣ ΜΕΤΡΟ
23.6933692492184,37.9878353619872,"76","86",ΣΤ.ΜΕΤΡΟ ΕΛΑΙΩΝΑΣ,ΣΤΑΘΜΟΣ ΜΕΤΡΟ
23.6820953924027,37.9915982828763,"77","87",ΣΤ.ΜΕΤΡΟ ΑΙΓΑΛΕΩ,ΣΤΑΘΜΟΣ ΜΕΤΡΟ
23.8057053721281,38.0091586234554,"78","88",ΣΤ.ΜΕΤΡΟ ΝΟΜΙΣΜΑΤΟΚΟΠΕΙΟ,ΣΤΑΘΜΟΣ ΜΕΤΡΟ
23.794853723496,38.0049428830355,"79","89",ΣΤ.ΜΕΤΡΟ ΧΟΛΑΡΓΟΣ,ΣΤΑΘΜΟΣ ΜΕΤΡΟ
23.8123250574568,38.0173169073154,"80","90",ΣΤ.ΜΕΤΡΟ ΑΓ.ΠΑΡΑΣΚΕΥΗ,ΣΤΑΘΜΟΣ ΜΕΤΡΟ
23.695748886406,38.0129480529264,"81","91",ΣΤ.ΜΕΤΡΟ ΠΕΡΙΣΤΕΡΙ,ΣΤΑΘΜΟΣ ΜΕΤΡΟ
23.6910120699129,38.0170975153628,"82","92",ΣΤ.ΜΕΤΡΟ ΑΝΘΟΥΠΟΛΗ,ΣΤΑΘΜΟΣ ΜΕΤΡΟ
23.7444375748053,37.9298046181446,"83","93",ΣΤ.ΜΕΤΡΟ ΗΛΙΟΥΠΟΛΗ,ΣΤΑΘΜΟΣ ΜΕΤΡΟ
23.7443989472481,37.9182393148387,"84","94",ΣΤ.ΜΕΤΡΟ ΑΛΙΜΟΣ,ΣΤΑΘΜΟΣ ΜΕΤΡΟ
23.745916201763,37.9030601508377,"85","95",ΣΤ.ΜΕΤΡΟ ΑΡΓΥΡΟΥΠΟΛΗ,ΣΤΑΘΜΟΣ ΜΕΤΡΟ
23.7474693888892,37.8926199562792,"86","96",ΣΤ.ΜΕΤΡΟ ΕΛΛΗΝΙΚΟ,ΣΤΑΘΜΟΣ ΜΕΤΡΟ
23.6673836829947,37.9972532748952,"87","97",ΣΤ.ΜΕΤΡΟ ΑΓ.ΜΑΡΙΝΑ,ΣΤΑΘΜΟΣ ΜΕΤΡΟ
23.833604349907,38.0239004834563,"88","98",ΣΤ.ΜΕΤΡΟ ΔΟΥΚ.ΠΛΑΚΕΝΤΙΑΣ,ΣΤΑΘΜΟΣ ΜΕΤΡΟ
23.8693016026674,38.0054574768307,"89","99",ΣΤ.ΜΕΤΡΟ ΠΑΛΛΗΝΗ,ΣΤΑΘΜΟΣ ΜΕΤΡΟ
23.9447106791928,37.9368055577038,"90","100",ΣΤ.ΜΕΤΡΟ ΑΕΡΟΔΡΟΜΙΟΥ,ΣΤΑΘΜΟΣ ΜΕΤΡΟ
23.8017051741679,37.8178351895799,"91","101",ΠΛΑΤΕΙΑ ΒΑΡΚΙΖΑΣ (ΑΥΤΟΜΑΤΟ ΜΗΧ/ΜΑ),ΑΜΕΚ ΟΣΥ
