TK,LOCALITY,bandavedailycbu,totaconsumption,totaldays,average_daily_consumption,totalparoxes,YYYYMM
10437,ΜΕΤΑΞΟΥΡΓΕΙΟ,Κλάση A,198,10935,0.0,379,Jan-23
10437,ΜΕΤΑΞΟΥΡΓΕΙΟ,Κλάση Β,1551,6435,0.2,238,Jan-23
10437,ΜΕΤΑΞΟΥΡΓΕΙΟ,Κλάση Γ,1092,1639,0.7,66,Jan-23
10437,ΜΕΤΑΞΟΥΡΓΕΙΟ,Κλάση Δ,1534,631,2.4,25,Jan-23
10437,ΜΕΤΑΞΟΥΡΓΕΙΟ,Κλάση Ε,2926,107,27.4,4,Jan-23
10437,ΠΛΑΤΕΙΑ ΒΑΘΗΣ,Κλάση A,161,6762,0.0,220,Jan-23
10437,ΠΛΑΤΕΙΑ ΒΑΘΗΣ,Κλάση Β,1398,5739,0.2,187,Jan-23
10437,ΠΛΑΤΕΙΑ ΒΑΘΗΣ,Κλάση Γ,564,872,0.7,30,Jan-23
10437,ΠΛΑΤΕΙΑ ΒΑΘΗΣ,Κλάση Δ,1338,613,2.2,20,Jan-23
10437,ΠΛΑΤΕΙΑ ΒΑΘΗΣ,Κλάση Ε,555,62,9.0,2,Jan-23
10437,ΠΛΑΤΕΙΑ ΚΑΡΑΙΣΚΑΚΗ,Κλάση A,0,62,0.0,2,Jan-23
10437,ΠΛΑΤΕΙΑ ΚΑΡΑΙΣΚΑΚΗ,Κλάση Β,11,93,0.1,3,Jan-23
10438,ΑΓ. ΠΑΥΛΟΣ,Κλάση A,672,24267,0.0,783,Jan-23
10438,ΑΓ. ΠΑΥΛΟΣ,Κλάση Β,5519,23501,0.2,759,Jan-23
10438,ΑΓ. ΠΑΥΛΟΣ,Κλάση Γ,1439,2216,0.7,72,Jan-23
10438,ΑΓ. ΠΑΥΛΟΣ,Κλάση Δ,678,388,1.8,13,Jan-23
10438,ΒΑΘΗΣ,Κλάση A,643,27834,0.0,900,Jan-23
10438,ΒΑΘΗΣ,Κλάση Β,5950,24297,0.2,784,Jan-23
10438,ΒΑΘΗΣ,Κλάση Γ,1885,3064,0.6,99,Jan-23
10438,ΒΑΘΗΣ,Κλάση Δ,1537,805,1.9,26,Jan-23
10438,ΒΑΘΗΣ,Κλάση Ε,705,93,7.6,3,Jan-23
10438,ΚΕΝΤΡΟ,Κλάση A,11,527,0.0,17,Jan-23
10438,ΚΕΝΤΡΟ,Κλάση Β,83,403,0.2,13,Jan-23
10438,ΚΕΝΤΡΟ,Κλάση Δ,227,124,1.8,4,Jan-23
10438,ΠΛΑΤΕΙΑ ΒΑΘΗΣ,Κλάση A,187,7636,0.0,248,Jan-23
10438,ΠΛΑΤΕΙΑ ΒΑΘΗΣ,Κλάση Β,1643,6755,0.2,218,Jan-23
10438,ΠΛΑΤΕΙΑ ΒΑΘΗΣ,Κλάση Γ,1183,1736,0.7,56,Jan-23
10438,ΠΛΑΤΕΙΑ ΒΑΘΗΣ,Κλάση Δ,1570,706,2.2,23,Jan-23
10439,ΑΓ. ΠΑΝΤΕΛΕΗΜΩΝ,Κλάση A,286,11979,0.0,388,Jan-23
10439,ΑΓ. ΠΑΝΤΕΛΕΗΜΩΝ,Κλάση Β,2610,11178,0.2,361,Jan-23
10439,ΑΓ. ΠΑΝΤΕΛΕΗΜΩΝ,Κλάση Γ,850,1364,0.6,44,Jan-23
10439,ΑΓ. ΠΑΝΤΕΛΕΗΜΩΝ,Κλάση Δ,153,124,1.2,4,Jan-23
10439,ΑΓ. ΠΑΝΤΕΛΕΗΜΩΝ,Κλάση Ε,1006,62,16.2,2,Jan-23
10439,ΑΓ. ΠΑΥΛΟΣ,Κλάση A,398,14012,0.0,454,Jan-23
10439,ΑΓ. ΠΑΥΛΟΣ,Κλάση Β,3276,13237,0.3,427,Jan-23
10439,ΑΓ. ΠΑΥΛΟΣ,Κλάση Γ,840,1395,0.6,45,Jan-23
10439,ΑΓ. ΠΑΥΛΟΣ,Κλάση Δ,324,155,2.1,5,Jan-23
10439,ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ,Κλάση A,141,5022,0.0,162,Jan-23
10439,ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ,Κλάση Β,1099,4588,0.2,148,Jan-23
10439,ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ,Κλάση Γ,341,558,0.6,18,Jan-23
10439,ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ,Κλάση Δ,227,93,2.4,3,Jan-23
10439,ΠΛΑΤΕΙΑ ΒΑΘΗΣ,Κλάση A,234,10788,0.0,348,Jan-23
10439,ΠΛΑΤΕΙΑ ΒΑΘΗΣ,Κλάση Β,2272,8711,0.3,281,Jan-23
10439,ΠΛΑΤΕΙΑ ΒΑΘΗΣ,Κλάση Γ,1120,1736,0.7,56,Jan-23
10439,ΠΛΑΤΕΙΑ ΒΑΘΗΣ,Κλάση Δ,855,465,1.8,15,Jan-23
10439,ΠΛΑΤΕΙΑ ΒΙΚΤΩΡΙΑΣ,Κλάση A,39,1860,0.0,60,Jan-23
10439,ΠΛΑΤΕΙΑ ΒΙΚΤΩΡΙΑΣ,Κλάση Β,280,1085,0.3,35,Jan-23
10439,ΠΛΑΤΕΙΑ ΒΙΚΤΩΡΙΑΣ,Κλάση Γ,149,200,0.8,7,Jan-23
10439,ΣΤΑΘΜΟΣ ΛΑΡΙΣΗΣ,Κλάση A,602,22451,0.0,726,Jan-23
10439,ΣΤΑΘΜΟΣ ΛΑΡΙΣΗΣ,Κλάση Β,5117,21382,0.2,690,Jan-23
10439,ΣΤΑΘΜΟΣ ΛΑΡΙΣΗΣ,Κλάση Γ,1352,2171,0.6,71,Jan-23
10439,ΣΤΑΘΜΟΣ ΛΑΡΙΣΗΣ,Κλάση Δ,381,217,1.8,7,Jan-23
10439,ΣΤΑΘΜΟΣ ΛΑΡΙΣΗΣ,Κλάση Ε,439,62,7.1,2,Jan-23
10440,ΑΓ. ΠΑΝΤΕΛΕΗΜΩΝ,Κλάση A,1132,46651,0.0,1676,Jan-23
10440,ΑΓ. ΠΑΝΤΕΛΕΗΜΩΝ,Κλάση Β,11779,49559,0.2,1791,Jan-23
10440,ΑΓ. ΠΑΝΤΕΛΕΗΜΩΝ,Κλάση Γ,2912,4683,0.6,202,Jan-23
10440,ΑΓ. ΠΑΝΤΕΛΕΗΜΩΝ,Κλάση Δ,1167,608,1.9,28,Jan-23
10440,ΑΓ. ΠΑΝΤΕΛΕΗΜΩΝ,Κλάση Ε,646,64,10.1,3,Jan-23
10440,ΑΘΗΝΑ,Κλάση A,24,1033,0.0,37,Jan-23
10440,ΑΘΗΝΑ,Κλάση Β,284,1266,0.2,45,Jan-23
10440,ΑΘΗΝΑ,Κλάση Γ,168,274,0.6,10,Jan-23
10440,ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ,Κλάση A,795,34301,0.0,1237,Jan-23
10440,ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ,Κλάση Β,8986,37227,0.2,1332,Jan-23
10440,ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ,Κλάση Γ,2109,3341,0.6,155,Jan-23
10440,ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ,Κλάση Δ,804,519,1.6,24,Jan-23
10440,ΠΛΑΤΕΙΑ ΒΙΚΤΩΡΙΑΣ,Κλάση A,140,5384,0.0,197,Jan-23
10440,ΠΛΑΤΕΙΑ ΒΙΚΤΩΡΙΑΣ,Κλάση Β,1302,4834,0.3,186,Jan-23
10440,ΠΛΑΤΕΙΑ ΒΙΚΤΩΡΙΑΣ,Κλάση Γ,596,918,0.7,37,Jan-23
10440,ΣΤΑΘΜΟΣ ΛΑΡΙΣΗΣ,Κλάση A,382,14910,0.0,531,Jan-23
10440,ΣΤΑΘΜΟΣ ΛΑΡΙΣΗΣ,Κλάση Β,3378,14409,0.2,534,Jan-23
10440,ΣΤΑΘΜΟΣ ΛΑΡΙΣΗΣ,Κλάση Γ,1318,2001,0.7,85,Jan-23
10440,ΣΤΑΘΜΟΣ ΛΑΡΙΣΗΣ,Κλάση Δ,1049,573,1.8,24,Jan-23
10441,ΑΚΑΔ. ΠΛΑΤΩΝΟΣ,Κλάση A,2533,96104,0.0,3313,Jan-23
10441,ΑΚΑΔ. ΠΛΑΤΩΝΟΣ,Κλάση Β,32244,127909,0.3,4421,Jan-23
10441,ΑΚΑΔ. ΠΛΑΤΩΝΟΣ,Κλάση Γ,9757,15725,0.6,589,Jan-23
10441,ΑΚΑΔ. ΠΛΑΤΩΝΟΣ,Κλάση Δ,2357,1274,1.9,60,Jan-23
10441,ΑΚΑΔ. ΠΛΑΤΩΝΟΣ,Κλάση Ε,425,64,6.6,3,Jan-23
10441,ΠΡΟΦ. ΔΑΝΙΗΛ,Κλάση A,13,653,0.0,22,Jan-23
10441,ΠΡΟΦ. ΔΑΝΙΗΛ,Κλάση Β,179,804,0.2,26,Jan-23
10441,ΠΡΟΦ. ΔΑΝΙΗΛ,Κλάση Γ,88,155,0.6,5,Jan-23
10442,ΑΚΑΔ. ΠΛΑΤΩΝΟΣ,Κλάση A,1159,41207,0.0,1457,Jan-23
10442,ΑΚΑΔ. ΠΛΑΤΩΝΟΣ,Κλάση Β,16028,61330,0.3,2138,Jan-23
10442,ΑΚΑΔ. ΠΛΑΤΩΝΟΣ,Κλάση Γ,5389,8591,0.6,346,Jan-23
10442,ΑΚΑΔ. ΠΛΑΤΩΝΟΣ,Κλάση Δ,2173,1163,1.9,49,Jan-23
10442,ΑΚΑΔ. ΠΛΑΤΩΝΟΣ,Κλάση Ε,489,62,7.9,3,Jan-23
10442,ΚΟΛΟΚΥΝΘΟΥ,Κλάση A,478,16740,0.0,598,Jan-23
10442,ΚΟΛΟΚΥΝΘΟΥ,Κλάση Β,6578,24550,0.3,856,Jan-23
10442,ΚΟΛΟΚΥΝΘΟΥ,Κλάση Γ,2524,3990,0.6,154,Jan-23
10442,ΚΟΛΟΚΥΝΘΟΥ,Κλάση Δ,2897,1440,2.0,59,Jan-23
10442,ΚΟΛΟΚΥΝΘΟΥ,Κλάση Ε,3584,337,10.6,13,Jan-23
10442,ΚΟΛΩΝΟΣ,Κλάση A,8,186,0.0,43,Jan-23
10442,ΚΟΛΩΝΟΣ,Κλάση Β,152,527,0.3,19,Jan-23
10442,ΚΟΛΩΝΟΣ,Κλάση Γ,76,124,0.6,5,Jan-23
10443,ΚΟΛΟΚΥΝΘΟΥ,Κλάση A,1418,44289,0.0,1448,Jan-23
